SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
ACNPETS_143,ACNPETS_143,This months special edition collar is made by Sunnyside retirement community. Our older friends just love it when you send pictures of your kitty in their creation and know that your purchase is keeping our elder community active and engaged. All kitty's can support that.,Charity Knit Collar,petsCollection,25,USD,TRUE,,2025-07-16T11:35:56.000Z,,,,master
008884303989M,008884303989M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",010,JJV61XX,variant
008885535600M,008885535600M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",006,JJM87XX,variant
008885535617M,008885535617M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",008,JJM87XX,variant
008885538403M,008885538403M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",010,JJ5AAXX,variant
22416787M,22416787M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Pants,mencasuals,175,USD,TRUE,883360520117M;883360520100M;883360520124M;883360520094M;883360520087M;883360520162M;883360520131M;883360520070M;883360520148M;883360520155M;,2025-07-24T13:34:06.000Z,"Size,Color",,,master
008885538410M,008885538410M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",012,JJ5AAXX,variant
008885538427M,008885538427M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:20.000Z,"Size,Color",014,JJ5AAXX,variant
008885538434M,008885538434M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:20.000Z,"Size,Color",016,JJ5AAXX,variant
008885538441M,008885538441M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",004,JJ5AAXX,variant
008885538458M,008885538458M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",006,JJ5AAXX,variant
008885538465M,008885538465M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",008,JJ5AAXX,variant
013742000153M,013742000153M,Pink and a bit of worn gold in this simply elegant hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Gold Hoop Earring,,30,USD,TRUE,,2025-06-30T14:29:20.000Z,"Color",010,JJ887XX,variant
013742000160M,013742000160M,Pink brown and a bit of worn gold coalesce in this simply elegant drop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Brown and Pink Drop Earrings,,28,USD,TRUE,,2025-06-30T14:28:41.000Z,"Color",010,JJ887XX,variant
22962004M,22962004M,No need to iron or press this top!  Just wash and dry and you're ready to go with a wrinkle-free look.  Crisp black and white stripes and a tailored fit make this the perfect suiting piece for women on the go.,No-Iron Easy Care French Cuff Striped Shirt,dresses,75,USD,TRUE,797711285894M;797711285917M;797711285900M;797711285931M;797711285924M;797711285948M;797711285887M;,2025-07-16T10:35:12.000Z,"Size,Color",,,master
013742000191M,013742000191M,Pink brown and a bit of worn gold in this simply elegant necklace. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Brown Collar Necklace,,45,USD,TRUE,,2025-06-30T14:28:37.000Z,"Color",010,JJ887XX,variant
25413129M,25413129M,Stick with classic looks this season and getting dressed will be a breeze.  Long sleeve knit cardigan with a button closure.  Add a button front top under your cardigan to create a polished look.,Long Sleeve Cardigan,dresses,48.99,USD,TRUE,701642411406M;701642411420M;701642411437M;701642411413M;,2025-07-16T10:35:12.000Z,"Size,Color",,,master
25419334M,25419334M,test: Turtle neck tops are always great for cool days and never go out of style. Pair this turtle neck top with trousers and flats for a casual Friday office look.,Long Sleeve Turtle Neck test,dresses,21.99,USD,TRUE,701642466062M;701642465980M;,2025-07-24T12:22:22.000Z,"Size,Color",,,master
013742002706M,013742002706M,Pair with matching earring for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Double Hoop Long Necklace,,28,USD,TRUE,,2025-06-30T14:29:18.000Z,"Color",010,JJ887XX,variant
013742002799M,013742002799M,Start summer off right with these turquoise and gold hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Turquoise and Gold Hoop Earring,,30,USD,TRUE,,2025-06-30T14:29:05.000Z,"Color",010,JJ887XX,variant
