SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind

013742000207M,013742000207M,Pink brown and a bit of worn gold in this simply slip on elegant necklace. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Brown Slip On,jewelry,68,USD,TRUE,,06/05/25,Color,010,JJ887XX,variant
013742000238M,013742000238M,Pink brown and a bit of worn gold coalesce in this simply elegant bracelet. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Brown Bracelet,jewelry,60,USD,TRUE,,06/05/25,Color,010,JJ887XX,variant
013742000252M,013742000252M,This classic styled button earring is the perfect way to add a little color to your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Bronze Clip On Button Earring,jewelry,20,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742000269M,013742000269M,Dress up any outfit with these silver chandler earring. The light green and brown beads add a little bit of color for a perfect look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver Chandler Earring,jewelry,30,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742000283M,013742000283M,Green and Brown beads create a stunning collar effect on this silver metal necklace with toggle closure. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Green and Brown Beaded Frontal Collar Necklace,jewelry,40,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742000320M,013742000320M,Green and Brown beads create a stunning effect on this silver metal bracelet with toggle closure. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Green and Brown Beaded Frontal Collar Bracelet,jewelry,36,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742000344M,013742000344M,Brighten your day with this silver button earrings. Pair with its matching necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver Button Earrings,jewelry,22,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742000443M,013742000443M,Brighten your day with this silver and purple button bracelet. Pair with its matching necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver and Purple Button Bracelet,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJNY2XX,variant
013742002423M,013742002423M,An Instant in glam; pair with matching bracelet for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Curved Earring,jewelry,18,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002454M,013742002454M,An Instant in glam; pair with matching necklace for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Hoop Earring,jewelry,20,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002485M,013742002485M,An Instant in glam; pair with matching earrings for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Necklace,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002522M,013742002522M,An Instant in glam; pair with matching earring for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Cuff Bracelet,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002560M,013742002560M,Beautiful 3 Stone drop earring. Guaranteed to polish any look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Dangle Earring,jewelry,24,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002577M,013742002577M,The perfect accessory starts with an amazing earring and ends with a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Hoop Earring,jewelry,32,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002607M,013742002607M,Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Necklace,jewelry,50,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002669M,013742002669M,Dress any outfit up with these dangle hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Dangle Hoop Earring,jewelry,26,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002690M,013742002690M,These clip on double hoop earring dresses up any outfit with ease and perfection. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Double Hoop Clip On Earring,jewelry,28,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
25448064M,25448064M,Brighten your day with this beautiful blue button necklace. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Necklace,lighting,44,USD,TRUE,013742335422M;,15/04/25,Color,,,master
013742002805M,013742002805M,Be a hit at your next BBQ with this turquoise and gold necklace. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Turquoise and Gold Necklace,jewelry,45,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002836M,013742002836M,Pair with matching earring or necklace for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Turquoise and Gold Bracelet,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
